rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_terminal_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
13/12/2021 09:12,202110,Other UK Airports,KIRKWALL,10510,9560,950,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,LANDS END (ST JUST),6540,6540,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,LEEDS BRADFORD,177258,123156,90,54012,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,LERWICK (TINGWALL),267,267,0,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,LIVERPOOL (JOHN LENNON),216899,104981,0,109801,0,0,0,667,0,1450,0,0,0
13/12/2021 09:12,202110,London Area Airports,LONDON CITY,148889,117313,0,24427,0,7108,0,0,0,41,0,0,0
13/12/2021 09:12,202110,Other UK Airports,MANCHESTER,1202621,484538,119,471909,0,125597,0,114799,0,768,0,4891,0
13/12/2021 09:12,202110,Other UK Airports,NEWCASTLE,224517,166670,146,53762,0,3779,0,160,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,NEWQUAY,12873,8544,45,4284,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,NORWICH,15857,4231,0,1981,0,0,0,9645,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,PRESTWICK,19054,0,0,18548,0,0,0,0,0,25,234,247,0
13/12/2021 09:12,202110,Other UK Airports,SOUTHAMPTON,44225,41624,0,2366,0,0,0,235,0,0,0,0,0
13/12/2021 09:12,202110,London Area Airports,SOUTHEND,24555,0,0,24555,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,London Area Airports,STANSTED,1340168,216604,71,1050197,0,58063,0,14558,0,428,0,247,0
13/12/2021 09:12,202110,Other UK Airports,STORNOWAY,8144,8005,139,0,0,0,0,0,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,SUMBURGH,19844,10848,96,0,0,0,0,8900,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,12210,4252,400,7495,0,0,0,63,0,0,0,0,0
13/12/2021 09:12,202110,Other UK Airports,TIREE,916,906,10,0,0,0,0,0,0,0,0,0,0

