rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
25/05/2021 09:24,202103,HEATHROW,9142110,28992589,77597459,284301057
25/05/2021 09:24,202103,STANSTED,3068006,28992589,26867726,284301057
25/05/2021 09:24,202103,LUTON,2919422,28992589,17461974,284301057
25/05/2021 09:24,202103,MANCHESTER,2832522,28992589,28220273,284301057
25/05/2021 09:24,202103,GATWICK,2825414,28992589,44401420,284301057
25/05/2021 09:24,202103,EDINBURGH,1190075,28992589,14137559,284301057
25/05/2021 09:24,202103,BIRMINGHAM,977867,28992589,12122454,284301057
25/05/2021 09:24,202103,BRISTOL,829448,28992589,8685545,284301057
25/05/2021 09:24,202103,BELFAST INTERNATIONAL,826316,28992589,5954489,284301057
25/05/2021 09:24,202103,GLASGOW,678592,28992589,8470959,284301057
25/05/2021 09:24,202103,ABERDEEN,629085,28992589,2793214,284301057
25/05/2021 09:24,202103,LIVERPOOL (JOHN LENNON),535442,28992589,4839675,284301057
25/05/2021 09:24,202103,EAST MIDLANDS INTERNATIONAL,412485,28992589,4485177,284301057
25/05/2021 09:24,202103,NEWCASTLE,384157,28992589,5006387,284301057
25/05/2021 09:24,202103,LEEDS BRADFORD,295734,28992589,3830156,284301057
25/05/2021 09:24,202103,BELFAST CITY (GEORGE BEST),257309,28992589,2260379,284301057
25/05/2021 09:24,202103,DONCASTER SHEFFIELD,184002,28992589,1357736,284301057
25/05/2021 09:24,202103,LONDON CITY,114729,28992589,4799191,284301057
25/05/2021 09:24,202103,INVERNESS,104049,28992589,908145,284301057
25/05/2021 09:24,202103,SUMBURGH,101232,28992589,255966,284301057
25/05/2021 09:24,202103,SOUTHEND,78275,28992589,2105399,284301057
25/05/2021 09:24,202103,NORWICH,73548,28992589,500545,284301057
25/05/2021 09:24,202103,SOUTHAMPTON,71675,28992589,1626112,284301057
25/05/2021 09:24,202103,BOURNEMOUTH,67958,28992589,802377,284301057
25/05/2021 09:24,202103,CARDIFF WALES,48300,28992589,1579366,284301057
25/05/2021 09:24,202103,PRESTWICK,46038,28992589,615223,284301057
25/05/2021 09:24,202103,CITY OF DERRY (EGLINTON),43183,28992589,200057,284301057
25/05/2021 09:24,202103,ISLES OF SCILLY (ST.MARYS),35843,28992589,91593,284301057
25/05/2021 09:24,202103,KIRKWALL,34089,28992589,156374,284301057
25/05/2021 09:24,202103,LANDS END (ST JUST),28721,28992589,63152,284301057
25/05/2021 09:24,202103,EXETER,28304,28992589,958417,284301057
25/05/2021 09:24,202103,NEWQUAY,24232,28992589,429436,284301057
25/05/2021 09:24,202103,STORNOWAY,22697,28992589,127016,284301057
25/05/2021 09:24,202103,HUMBERSIDE,17630,28992589,190072,284301057
25/05/2021 09:24,202103,TEESSIDE INTERNATIONAL AIRPORT,14714,28992589,25855,284301057
25/05/2021 09:24,202103,SCATSTA,12021,28992589,104969,284301057
25/05/2021 09:24,202103,BENBECULA,7845,28992589,33589,284301057
25/05/2021 09:24,202103,BLACKPOOL,7386,28992589,15925,284301057
25/05/2021 09:24,202103,ISLAY,4643,28992589,33660,284301057
25/05/2021 09:24,202103,DUNDEE,4583,28992589,20231,284301057
25/05/2021 09:24,202103,BARRA,4423,28992589,13906,284301057
25/05/2021 09:24,202103,TIREE,3829,28992589,11631,284301057
25/05/2021 09:24,202103,BIGGIN HILL,1888,28992589,2171,284301057
25/05/2021 09:24,202103,CAMPBELTOWN,1297,28992589,7419,284301057
25/05/2021 09:24,202103,LERWICK (TINGWALL),939,28992589,3199,284301057
25/05/2021 09:24,202103,OXFORD (KIDLINGTON),519,28992589,0,284301057
25/05/2021 09:24,202103,WICK JOHN O GROATS,8,28992589,11500,284301057
25/05/2021 09:24,202103,GLOUCESTERSHIRE,5,28992589,0,284301057
25/05/2021 09:24,202103,DURHAM TEES VALLEY,0,28992589,115946,284301057
25/05/2021 09:24,202103,LYDD,0,28992589,33,284301057

