rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,LERWICK (TINGWALL),1227,3309,-62.919310970,1227,3309,-62.919310970,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),1338415,5045991,-73.475676037,1337669,5043975,-73.479864591,746,2016,-62.996031746
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,LYDD,0,39,,0,39,,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,MANCHESTER,7034856,29397357,-76.069767088,7029384,29367477,-76.064052080,5472,29880,-81.686746988
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,NEWCASTLE,1064274,5203624,-79.547446164,1061146,5198952,-79.589232599,3128,4672,-33.047945205
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,NEWQUAY,67877,461478,-85.291389839,67877,461469,-85.291102978,0,9,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,NORWICH,120258,530328,-77.323844866,120258,530328,-77.323844866,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,OXFORD (KIDLINGTON),514,0,,514,0,,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,PRESTWICK,90790,640055,-85.815281499,90608,638975,-85.819789507,182,1080,-83.148148148
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,SCATSTA,35624,109480,-67.460723420,35624,109480,-67.460723420,0,0,
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,SOUTHAMPTON,296161,1781457,-83.375349503,296094,1781308,-83.377720192,67,149,-55.033557047
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,STORNOWAY,44387,131441,-66.230476031,43093,129500,-66.723552124,1294,1941,-33.333333333
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,SUMBURGH,116745,267456,-56.349829505,113951,267420,-57.388751776,2794,36,7661.111111111
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,38540,150735,-74.431950111,37141,147824,-74.874851174,1399,2911,-51.940913775
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,TIREE,5443,12178,-55.304647725,5221,11944,-56.287675820,222,234,-5.128205128
4/16/2021 5:12:43 PM,2020,2019,1,3,Other UK Airports,WICK JOHN O GROATS,1913,13149,-85.451365123,1913,12892,-85.161340366,0,257,
4/16/2021 5:12:43 PM,2020,2019,2,4,Non UK Reporting Airports,ALDERNEY,28048,53155,-47.233562224,28048,53155,-47.233562224,0,0,
4/16/2021 5:12:43 PM,2020,2019,2,4,Non UK Reporting Airports,GUERNSEY,188607,882374,-78.625050149,184503,855396,-78.430691750,4104,26978,-84.787604715
4/16/2021 5:12:43 PM,2020,2019,2,4,Non UK Reporting Airports,ISLE OF MAN,162898,854676,-80.940379746,162898,854676,-80.940379746,0,0,
4/16/2021 5:12:43 PM,2020,2019,2,4,Non UK Reporting Airports,JERSEY,424922,1762949,-75.897090614,420195,1728973,-75.696844312,4727,33976,-86.087238050

