rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
3/17/2020 2:49:14 PM,2019,Other UK Airports,MANCHESTER,108382.249000,3968.908000,7424.053000,1043.208000,509.397000,53572.821000,40324.942000,696.190000,792.177000,13.710000,0.002000,9.406000,27.435000
3/17/2020 2:49:14 PM,2019,Other UK Airports,NEWCASTLE,4744.835000,3.845000,2.601000,5.289000,2.031000,1549.281000,2511.769000,0.000000,37.640000,9.820000,9.820000,195.256000,417.483000
3/17/2020 2:49:14 PM,2019,Other UK Airports,NEWQUAY,2.388000,0.315000,1.324000,0.741000,0.005000,0.000000,0.000000,0.000000,0.000000,0.002000,0.001000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,NORWICH,257.308000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.420000,134.887000,0.000000,0.001000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,PRESTWICK,13053.755000,206.881000,99.538000,7792.353000,3954.627000,0.000000,0.000000,2.819000,9.632000,117.898000,1.830000,237.175000,631.002000
3/17/2020 2:49:14 PM,2019,Other UK Airports,SCATSTA,275.388000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.621000,147.767000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,SOUTHAMPTON,203.239000,43.166000,160.073000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,STORNOWAY,179.202000,164.717000,14.479000,0.000000,0.000000,0.000000,0.000000,0.001000,0.005000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,SUMBURGH,321.580000,149.900000,7.124000,0.000000,0.000000,0.000000,0.000000,82.734000,81.822000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Other UK Airports,TIREE,11.608000,10.980000,0.628000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Non UK Reporting Airports,ALDERNEY,80.004000,59.836000,20.168000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Non UK Reporting Airports,GUERNSEY,979.155000,143.879000,78.718000,0.000000,0.000000,0.000000,0.000000,337.827000,54.662000,238.260000,125.809000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Non UK Reporting Airports,ISLE OF MAN,120.037000,24.354000,16.116000,0.582000,0.851000,0.000000,0.000000,0.000000,0.000000,78.134000,0.000000,0.000000,0.000000
3/17/2020 2:49:14 PM,2019,Non UK Reporting Airports,JERSEY,785.138000,102.667000,63.233000,103.997000,50.217000,0.000000,0.000000,0.080000,0.186000,458.493000,6.265000,0.000000,0.000000

