rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  LEEDS BRADFORD,1.624000,0.046000,0.425000,0.308000,0.492000,0.862000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  LIVERPOOL (JOHN LENNON),0.000000,10.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  MANCHESTER,522.872000,636.121000,1125.265000,1448.967000,726.239000,457.407000,3764.954000,3536.011000,3228.758000,3103.413000,2364.095000,-24.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  MANSTON (KENT INT),0.000000,0.000000,4.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  NEWCASTLE,9758.026000,9061.530000,8532.332000,7928.666000,6512.460000,4738.355000,4632.692000,4893.665000,1128.368000,3.373000,2.825000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  NEWQUAY,0.000000,0.000000,0.000000,0.000000,0.000000,18.339000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  PENZANCE HELIPORT,130.000000,130.000000,122.000000,67.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  PRESTWICK,0.012000,0.022000,0.001000,0.139000,0.000000,0.002000,0.000000,0.000000,11.114000,0.000000,16.834000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  SCATSTA,0.846000,1.043000,0.913000,14.175000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  SOUTHAMPTON,0.020000,0.000000,0.372000,0.027000,0.002000,0.067000,9.578000,40.650000,19.529000,9.950000,36.790000,270.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  STORNOWAY,2.585000,0.091000,0.090000,0.097000,0.000000,0.006000,0.586000,0.229000,2.100000,0.726000,88.353000,8700.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  SUMBURGH,0.193000,0.156000,1.400000,1.288000,0.067000,1.259000,0.139000,0.101000,0.771000,2.099000,0.023000,-100.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  TEESSIDE INTERNATIONAL AIRPORT,58.039000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17/03/2020 14:29:16,2009 - 2019,Other UK Airports,  TIREE,31.027000,31.431000,30.778000,26.928000,32.454000,33.008000,36.139000,37.242000,36.643000,38.093000,41.278000,8.000000
17/03/2020 14:29:16,2009 - 2019,Non UK Reporting Airports,  ALDERNEY,263.496000,285.175000,327.028000,195.999000,88.984000,82.127000,82.342000,72.946000,78.400000,103.359000,96.056000,-7.000000
17/03/2020 14:29:16,2009 - 2019,Non UK Reporting Airports,  GUERNSEY,2906.456000,3233.782000,3460.032000,2920.112000,2646.483000,2744.185000,2790.904000,2948.357000,2860.827000,2791.700000,2766.950000,-1.000000
17/03/2020 14:29:16,2009 - 2019,Non UK Reporting Airports,  ISLE OF MAN,2295.303000,2556.976000,2711.215000,2656.223000,2510.632000,2521.440000,2490.414000,2532.166000,2233.134000,1865.132000,1867.666000,0.000000
17/03/2020 14:29:16,2009 - 2019,Non UK Reporting Airports,  JERSEY,1746.387000,1943.539000,2334.952000,2259.652000,1564.997000,1728.249000,1745.951000,1593.397000,2230.771000,1753.231000,2027.275000,16.000000

