Textbox22,Textbox23,Textbox99,Textbox103,grp_name,apt1_apt_name,airport_2_name2,total_pax_this_period2,total_pax_scheduled_this_period2,total_pax_charter_this_period2,total_pax_last_period2,total_pax_scheduled_last_period2,total_pax_charter_last_period2,total_pax_percent2,Textbox42,Textbox44,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent,Textbox12,Textbox13,Textbox14,Textbox16,Textbox17,Textbox18,Textbox20
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- BELFAST CITY (GEORGE BEST),-,-,-,1423,1423,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- BELFAST INTERNATIONAL,36851,36851,-,37783,37783,-,-2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- BOURNEMOUTH,87,-,87,82,-,82,6,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- CARDIFF WALES,38,-,38,87,-,87,-56,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- CITY OF DERRY (EGLINTON),4890,4890,-,5017,5017,-,-3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- GATWICK,162,87,75,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- ISLE OF MAN,19228,19228,-,17055,17055,-,13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- JERSEY,9167,9167,-,6094,6094,-,50,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- LUTON,-,-,-,23,-,23,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- NEWCASTLE,180,-,180,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- OLD WARDEN,161,161,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- SOUTHAMPTON,37,-,37,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- SOUTHEND,86,-,86,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,LIVERPOOL (JOHN LENNON),- STANSTED,86,-,86,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- ABERDEEN,15780,15780,-,14718,14718,-,7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- BELFAST CITY (GEORGE BEST),17866,17866,-,20273,20273,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- BELFAST INTERNATIONAL,37226,37226,-,19831,19831,-,88,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- BIRMINGHAM,44,44,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- BRISTOL,60,-,60,127,-,127,-53,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- CAMBRIDGE,237,237,-,164,164,-,45,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- EAST MIDLANDS INTERNATIONAL,-,-,-,148,148,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- EDINBURGH,7842,7842,-,8897,8897,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- EXETER,9066,9066,-,9654,9654,-,-6,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- GATWICK,-,-,-,105,105,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- GLASGOW,3164,3164,-,3849,3849,-,-18,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- GUERNSEY,3866,3866,-,3425,3425,-,13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- HEATHROW,50655,50655,-,54336,54336,-,-7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- INVERNESS,3372,3372,-,3670,3670,-,-8,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- ISLE OF MAN,12628,12628,-,12482,12439,43,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- JERSEY,1810,1810,-,1587,1587,-,14,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- LIVERPOOL (JOHN LENNON),169,169,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- LONDON CITY,210,210,-,191,191,-,10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- NEWCASTLE,43,-,43,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- NEWQUAY,4734,4734,-,4557,4557,-,4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- NORWICH,1462,1462,-,1660,1660,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- PRESTWICK,-,-,-,60,-,60,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- SOUTHAMPTON,14353,14353,-,16747,16747,-,-14,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- SOUTHEND,559,509,50,2778,2778,-,-80,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- STANSTED,104,104,-,74,-,74,41,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,MANCHESTER,- STORNOWAY,-,-,-,263,263,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- ABERDEEN,1609,1609,-,1637,1621,16,-2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- BELFAST INTERNATIONAL,19405,19405,-,19156,19156,-,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- BRISTOL,14305,14305,-,13565,13506,59,5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- CARDIFF WALES,552,472,80,1292,1113,179,-57,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- EXETER,2145,2145,-,2340,2340,-,-8,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- HEATHROW,32924,32924,-,40225,40180,45,-18,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- ISLE OF MAN,-,-,-,553,553,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- LONDON CITY,1268,1268,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- LUTON,36,-,36,45,-,45,-20,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- MANCHESTER,173,-,173,96,-,96,80,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWCASTLE,- SOUTHAMPTON,8699,8699,-,8775,8775,-,-1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- BIRMINGHAM,297,297,-,110,110,-,170,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- GATWICK,12574,12574,-,12728,12728,-,-1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- ISLES OF SCILLY (ST.MARYS),399,399,-,337,337,-,18,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- LANDS END (ST JUST),-,-,-,6,6,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- LEEDS BRADFORD,1386,1386,-,1246,1246,-,11,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- LIVERPOOL (JOHN LENNON),-,-,-,45,45,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NEWQUAY,- MANCHESTER,4738,4738,-,4547,4547,-,4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- ABERDEEN,3057,3057,-,3325,3325,-,-8,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- BIRMINGHAM,-,-,-,110,-,110,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- BRISTOL,-,-,-,84,-,84,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- EDINBURGH,1904,1904,-,1693,1693,-,12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- EXETER,1642,1642,-,1491,1491,-,10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- GLASGOW,-,-,-,578,578,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- HUMBERSIDE,-,-,-,4,4,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- MANCHESTER,1466,1466,-,1078,1078,-,36,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,NORWICH,- WARTON,-,-,-,2,2,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,PRESTWICK,- BELFAST CITY (GEORGE BEST),-,-,-,77,-,77,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,PRESTWICK,- EAST MIDLANDS INTERNATIONAL,4,-,4,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,PRESTWICK,- STANSTED,3,-,3,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- ABERDEEN,386,386,-,2030,2030,-,-81,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- ALDERNEY,1203,1203,-,1142,1142,-,5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- BELFAST CITY (GEORGE BEST),7668,7668,-,8514,8514,-,-10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- EAST MIDLANDS INTERNATIONAL,80,-,80,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- EDINBURGH,13369,13369,-,13480,13480,-,-1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- EXETER,43,43,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- GLASGOW,12840,12840,-,11970,11970,-,7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- GUERNSEY,4926,4926,-,6943,6943,-,-29,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- JERSEY,11649,11649,-,11157,11157,-,4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- LEEDS BRADFORD,2461,2461,-,945,945,-,160,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- LIVERPOOL (JOHN LENNON),77,-,77,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- LONDON CITY,44,44,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- MANCHESTER,14544,14544,-,16911,16911,-,-14,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SOUTHAMPTON,- NEWCASTLE,8744,8744,-,8859,8859,-,-1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,STORNOWAY,- ABERDEEN,-,-,-,400,400,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,STORNOWAY,- BENBECULA,502,502,-,617,617,-,-19,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,STORNOWAY,- EDINBURGH,981,981,-,1086,1086,-,-10,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,STORNOWAY,- GLASGOW,4616,4616,-,5702,5702,-,-19,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,STORNOWAY,- INVERNESS,1905,1905,-,1586,1586,-,20,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SUMBURGH,- ABERDEEN,4754,4754,-,5446,5446,-,-13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SUMBURGH,- EDINBURGH,2634,2634,-,2904,2904,-,-9,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SUMBURGH,- GLASGOW,1710,1710,-,1983,1983,-,-14,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SUMBURGH,- INVERNESS,7,7,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,SUMBURGH,- KIRKWALL,1055,1055,-,855,855,-,23,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
