rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
03/03/2019 10:55:57,2018,Other UK Airports,  MANCHESTER,1480.598000,2846.708000,418.362000,54.175000,107330.944000,0.000000,1139.908000,0.000000,42.654000,817.318000,0.002000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  NEWCASTLE,7.163000,0.000000,0.000000,441.848000,5063.861000,0.000000,0.000000,0.000000,0.511000,0.000000,0.000000,10.638000
03/03/2019 10:55:57,2018,Other UK Airports,  NEWQUAY,0.019000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.737000,0.000000,0.000000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  NORWICH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,219.593000,0.000000,0.000000,0.000000,0.000000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  OXFORD (KIDLINGTON),0.000000,0.612000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  PRESTWICK,13.770000,3986.549000,0.000000,32.194000,0.000000,8226.735000,0.413000,656.037000,0.000000,0.000000,0.000000,86.843000
03/03/2019 10:55:57,2018,Other UK Airports,  SCATSTA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.632000,0.000000,0.000000,0.000000,363.065000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  SOUTHAMPTON,41.931000,0.000000,0.000000,2.058000,0.000000,0.000000,0.000000,0.000000,188.685000,0.120000,0.000000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,216.615000,0.000000,0.001000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.015000,0.000000,27.041000,0.000000,169.626000,0.000000,135.882000,0.000000
03/03/2019 10:55:57,2018,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.505000,0.115000,0.000000,0.000000
03/03/2019 10:55:57,2018,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.746000,1.510000,0.000000,0.000000
03/03/2019 10:55:57,2018,Non UK Reporting Airports,  GUERNSEY,1.721000,0.000000,0.000000,6.491000,0.000000,0.000000,0.000000,0.000000,239.347000,1.625000,0.000000,687.536000
03/03/2019 10:55:57,2018,Non UK Reporting Airports,  ISLE OF MAN,3.671000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.844000,0.000000,0.000000,91.625000
03/03/2019 10:55:57,2018,Non UK Reporting Airports,  JERSEY,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,186.070000,500.140000,0.000000,355.219000

