rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5616278,4652691,4110529,4208402,4067915,4327556,4506791,4446219,4651373,4877545,4873757,-0.077662021
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,EDINBURGH,8992178,9043452,8594449,9383695,9194334,9775026,10158906,11113386,12347826,13409610,14292131,6.581257770
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,EXETER,951265,789733,736680,709314,694963,737919,766572,821165,849881,908260,931182,2.523726686
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,GLASGOW,8135260,7213397,6521765,6858268,7150095,7358099,7708867,8709531,9343147,9894845,9653085,-2.443292442
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,GLOUCESTERSHIRE,19830,20220,16238,14737,15245,14129,15141,12253,12329,1488,0,-100.000000000
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,HUMBERSIDE,424402,335149,282583,273096,233589,234641,237329,221190,201279,190490,191828,0.702399076
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,INVERNESS,670752,583374,528447,579123,601550,607236,611373,667560,782245,874486,892971,2.113813143
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,ISLAY,29136,26285,24946,25784,21230,25754,27412,28993,27973,32392,32508,0.358113114
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,KIRKWALL,137616,138383,129022,133930,132235,149574,150877,149524,152727,164484,169683,3.160793755
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,LEEDS BRADFORD,2860447,2552597,2723833,2936988,2968700,3314395,3263247,3445291,3611458,4074500,4037686,-0.903521905
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,LERWICK (TINGWALL),4854,4709,4609,5181,5041,3784,3591,4175,4438,4139,3881,-6.233389708
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5329826,4879468,5007944,5246540,4458500,4185757,3984023,4295763,4777030,4896603,5042312,2.975716022
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,LYDD,1673,588,485,496,445,670,1194,1134,114,0,0,
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,MANCHESTER,21062749,18630394,17662699,18806655,19654100,20680467,21950223,23094593,25598827,27773917,28255586,1.734249440
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,MANSTON (KENT INT),11625,5335,25692,37169,8262,40143,12385,0,0,0,0,
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,NEWCASTLE,5016640,4568619,4345952,4336304,4354648,4415262,4512976,4559841,4804958,5297952,5332238,0.647155731
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,NEWQUAY,430893,347036,285271,209574,166272,174632,219167,250278,370272,459924,456511,-0.742079126
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,NORWICH,582973,429542,425662,413837,396646,463029,458931,459664,506007,528153,536578,1.595181699
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,1297,2186,1491,6551,6840,1194,166,383,90,100,11.111111111
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,PRESTWICK,2414019,1817286,1659946,1295676,1066917,1144568,912399,609589,671661,695669,680958,-2.114655102
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,SCATSTA,243041,269754,279442,288225,304426,298308,279799,253526,162100,170847,174934,2.392198868
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,SOUTHAMPTON,1945767,1789443,1733553,1761961,1693350,1722443,1829575,1775638,1946938,2069605,1990930,-3.801450035
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,STORNOWAY,130888,122475,112226,122439,115860,119904,127237,124984,124338,132009,133375,1.034777932
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,SUMBURGH,154011,139146,139171,142615,148861,209747,262626,270126,249050,256393,245766,-4.144808946
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,TIREE,8419,8202,7859,8310,7317,8328,9026,9564,11210,12137,12285,1.219411716
03/03/2019 11:03,2018 - 2018,1,3,Other UK Airports,WICK JOHN O GROATS,23430,21460,22299,24262,24920,33091,27633,24152,20021,17672,16756,-5.183340878
03/03/2019 11:03,2018 - 2018,2,4,Non UK Reporting Airports,ALDERNEY,77104,74835,70012,69546,64165,62855,61317,59843,57595,54760,53343,-2.587655223
03/03/2019 11:03,2018 - 2018,2,4,Non UK Reporting Airports,GUERNSEY,914742,902040,885945,899857,862330,856731,860213,857775,839717,809215,804536,-0.578214690
03/03/2019 11:03,2018 - 2018,2,4,Non UK Reporting Airports,ISLE OF MAN,754387,707506,674483,700547,695610,738522,728591,780857,790761,797374,836656,4.926420977
03/03/2019 11:03,2018 - 2018,2,4,Non UK Reporting Airports,JERSEY,1591032,1460972,1428798,1460911,1441671,1429378,1474613,1532492,1591976,1614221,1646423,1.994894132

